ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Predicted Deaths (yhat),Lower Bound (yhat_lower),Upper Bound (yhat_upper)
2020-02-09,1080.9485695692254,-1957.2533595520945,3969.6728890316986,1080.9485695692254,1080.9485695692254,-165.7017247720018,-165.7017247720018,-165.7017247720018,-165.7017247720018,-165.7017247720018,-165.7017247720018,0.0,0.0,0.0,915.2468447972235,915,-1957,3969
2020-02-10,1172.5596423639702,-2753.3346287143163,3345.4998161541434,1172.5596423639702,1172.5596423639702,-905.321484758054,-905.321484758054,-905.321484758054,-905.321484758054,-905.321484758054,-905.321484758054,0.0,0.0,0.0,267.2381576059162,267,-2753,3345
2020-02-11,1264.1707151587152,-2422.3530061301526,3404.4726742988223,1264.1707151587152,1264.1707151587152,-728.2893533228059,-728.2893533228059,-728.2893533228059,-728.2893533228059,-728.2893533228059,-728.2893533228059,0.0,0.0,0.0,535.8813618359093,535,-2422,3404
2020-02-12,1355.78178795346,-1679.5000145611634,4185.88551776817,1355.78178795346,1355.78178795346,-191.37479910525067,-191.37479910525067,-191.37479910525067,-191.37479910525067,-191.37479910525067,-191.37479910525067,0.0,0.0,0.0,1164.4069888482093,1164,-1679,4185
2020-02-13,1447.3928607482046,-1211.9527743604576,4709.844022163839,1447.3928607482046,1447.3928607482046,388.58694114911714,388.58694114911714,388.58694114911714,388.58694114911714,388.58694114911714,388.58694114911714,0.0,0.0,0.0,1835.9798018973217,1835,-1211,4709
2020-02-14,1539.0039335429497,-550.8326287088855,5394.678244250719,1539.0039335429497,1539.0039335429497,874.8016233767257,874.8016233767257,874.8016233767257,874.8016233767257,874.8016233767257,874.8016233767257,0.0,0.0,0.0,2413.8055569196754,2413,-550,5394
2020-02-15,1630.6150063376945,-926.6192869502621,5171.524188645842,1630.6150063376945,1630.6150063376945,727.2987974305922,727.2987974305922,727.2987974305922,727.2987974305922,727.2987974305922,727.2987974305922,0.0,0.0,0.0,2357.913803768287,2357,-926,5171
2020-02-16,1722.3335557840885,-1526.9350405966331,4398.182286727294,1722.3335557840885,1722.3335557840885,-165.701724772785,-165.701724772785,-165.701724772785,-165.701724772785,-165.701724772785,-165.701724772785,0.0,0.0,0.0,1556.6318310113036,1556,-1526,4398
2020-02-17,1814.0521052304823,-2035.2129653796874,3818.281231894252,1814.0521052304823,1814.0521052304823,-905.3214847582591,-905.3214847582591,-905.3214847582591,-905.3214847582591,-905.3214847582591,-905.3214847582591,0.0,0.0,0.0,908.7306204722232,908,-2035,3818
2020-02-18,1905.7706546768763,-1775.0666628990348,4267.870995744275,1905.7706546768763,1905.7706546768763,-728.2893533224257,-728.2893533224257,-728.2893533224257,-728.2893533224257,-728.2893533224257,-728.2893533224257,0.0,0.0,0.0,1177.4813013544508,1177,-1775,4267
